"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.09.2021","11,090","11,110","11,135","11,090","-0,18%"
"16.09.2021","11,110","11,100","11,110","11,100","0,09%"
"15.09.2021","11,100","10,990","11,100","10,990","1,00%"
"14.09.2021","10,990","10,965","10,990","10,965","0,23%"
"13.09.2021","10,965","10,965","10,965","10,965","-1,31%"
"10.09.2021","11,110","11,175","11,175","11,110","-0,58%"
"09.09.2021","11,175","11,175","11,175","11,175","0,49%"
"08.09.2021","11,120","11,120","11,120","11,120","2,21%"
"06.09.2021","10,880","10,755","10,880","10,755","1,16%"
"03.09.2021","10,755","10,755","10,880","10,755","0,00%"
"02.09.2021","10,755","10,540","10,755","10,540","2,04%"
"01.09.2021","10,540","10,540","10,540","10,540","-0,09%"
"31.08.2021","10,550","10,265","10,550","10,265","2,78%"
"30.08.2021","10,265","10,265","10,265","10,265","0,10%"
"27.08.2021","10,255","10,255","10,255","10,255","-0,87%"
"26.08.2021","10,345","10,620","10,620","10,345","-0,05%"
"25.08.2021","10,350","10,620","10,620","10,350","-2,54%"
"24.08.2021","10,620","10,820","10,820","10,620","-1,85%"
"23.08.2021","10,820","10,820","10,820","10,820","1,84%"
"20.08.2021","10,625","10,625","10,625","10,625","-0,61%"
"19.08.2021","10,690","10,690","10,690","10,690","0,00%"
"18.08.2021","10,690","10,690","10,690","10,690","4,19%"
"17.08.2021","10,260","10,600","10,690","10,260","1,38%"
"16.08.2021","10,120","10,425","10,425","10,120","0,30%"
"13.08.2021","10,090","9,920","10,090","9,920","2,96%"
"12.08.2021","9,800","10,095","10,225","9,800","1,66%"
"11.08.2021","9,640","10,045","10,090","9,640","-0,41%"
"10.08.2021","9,680","10,090","10,090","9,680","0,94%"
"09.08.2021","9,590","9,990","10,090","9,590","0,00%"
"06.08.2021","9,590","9,900","9,930","9,590","0,74%"
"05.08.2021","9,520","9,600","9,900","9,520","3,59%"
"04.08.2021","9,190","9,650","9,650","9,190","-1,08%"
"03.08.2021","9,290","9,830","9,830","9,290","-2,82%"
"02.08.2021","9,560","9,600","9,600","9,500","4,82%"
"30.07.2021","9,120","9,335","9,600","9,120","-2,30%"
"29.07.2021","9,335","9,330","9,335","9,330","0,05%"
"28.07.2021","9,330","9,335","9,335","9,330","-0,05%"
"27.07.2021","9,335","9,335","9,335","9,335","0,76%"
"26.07.2021","9,265","9,305","9,305","9,265","0,65%"
"22.07.2021","9,205","9,205","9,205","9,205","-0,49%"
"21.07.2021","9,250","9,235","9,250","9,205","0,49%"
"20.07.2021","9,205","9,205","9,205","9,205","-0,32%"
"19.07.2021","9,235","9,235","9,235","9,235","4,59%"
"16.07.2021","8,830","9,215","9,215","8,830","-1,45%"
"15.07.2021","8,960","9,270","9,270","8,960","-3,08%"
"14.07.2021","9,245","9,470","9,470","9,245","1,59%"
"13.07.2021","9,100","9,365","9,470","9,100","2,13%"
"12.07.2021","8,910","9,365","9,365","8,910","-4,40%"
"08.07.2021","9,320","9,310","9,320","9,310","0,11%"
"07.07.2021","9,310","9,310","9,310","9,310","-0,75%"
"06.07.2021","9,380","9,275","9,380","9,110","1,13%"
"05.07.2021","9,275","9,210","9,275","9,210","0,71%"
"01.07.2021","9,210","9,115","9,210","9,110","1,04%"
"30.06.2021","9,115","9,110","9,115","9,110","0,83%"
"29.06.2021","9,040","9,195","9,195","9,040","-0,77%"
"28.06.2021","9,110","9,170","9,170","9,110","-0,92%"
"25.06.2021","9,195","9,170","9,195","9,170","0,27%"
"24.06.2021","9,170","9,275","9,275","9,170","-1,13%"
"23.06.2021","9,275","9,325","9,325","9,275","-0,54%"
"22.06.2021","9,325","9,325","9,325","9,325","0,00%"
"21.06.2021","9,325","9,505","9,505","9,325","3,04%"
"18.06.2021","9,050","9,235","9,235","9,050","3,08%"
"17.06.2021","8,780","9,155","9,235","8,780","-2,88%"
"16.06.2021","9,040","9,235","9,235","9,040","-1,63%"
"15.06.2021","9,190","9,235","9,235","9,190","-0,49%"
"14.06.2021","9,235","9,195","9,260","9,040","0,44%"
"11.06.2021","9,195","9,195","9,195","9,195","1,71%"
"10.06.2021","9,040","9,040","9,040","9,040","0,00%"
"09.06.2021","9,040","9,005","9,040","9,005","0,39%"
"08.06.2021","9,005","9,010","9,010","9,005","-0,06%"
"07.06.2021","9,010","8,930","9,010","8,930","0,90%"
"04.06.2021","8,930","9,025","9,025","8,930","-2,72%"
"02.06.2021","9,180","9,100","9,180","9,100","5,40%"
"01.06.2021","8,710","9,140","9,140","8,710","-0,68%"
"31.05.2021","8,770","9,110","9,170","8,770","-1,13%"
"28.05.2021","8,870","9,195","9,195","8,870","-3,53%"
"27.05.2021","9,195","9,345","9,345","9,195","-2,23%"
"26.05.2021","9,405","9,405","9,405","9,405","0,05%"
"25.05.2021","9,400","9,400","9,400","9,400","-1,00%"
"24.05.2021","9,495","9,455","9,495","9,455","0,42%"
"21.05.2021","9,455","9,480","9,480","9,455","-0,26%"
"20.05.2021","9,480","9,475","9,480","9,475","-0,73%"
"19.05.2021","9,550","9,475","9,550","9,475","0,79%"
"18.05.2021","9,475","9,380","9,475","9,380","1,01%"
"17.05.2021","9,380","9,435","9,435","9,380","-0,58%"
"14.05.2021","9,435","9,425","9,435","9,425","0,11%"
